survival,fruits,height
0,2.18,1.58
0,1.78,1.53
0,1.2,1.46
0,0,1
0,0,1.04
0,0.78,1.38
0,1.57,1.57
0,1.36,1.53
0,1.2,1.48
0,1.26,1.48
0,1.6,1.38
0,1.92,1.51
0,2.78,1.74
0,1.81,1.51
0,2.54,1.79
0,1.26,1.45
0,1.4,1.45
0,2.46,1.74
0,2.34,1.71
0,0.6,1.28
0,0,1.36
0,0.3,1.28
0,2.24,1.57
0,0.6,1.43
0,1.96,1.53
0,2.47,1.63
0,1,1.34
0,1.2,1.45
0,1,1.38
0,1.69,1.49
0,1.15,1.32
0,1.82,1.6
0,0,0.78
0,1.53,1.56
0,2.59,1.66
0,1.61,1.54
0,2.67,1.65
0,0,1.34
0,3.01,1.72
0,2.46,1.63
0,2.53,1.64
0,2.33,1.71
0,2.51,1.72
0,1.58,1.52
0,2.2,1.63
0,1.58,1.48
0,0,0.7
0,2.54,1.61
0,0,0.95
0,0,0.6
0,0,0.7
0,0,0.48
0,0,1.15
0,0,1
0,0,1.41
0,1.88,1.43
0,1.4,1.41
0,1.74,1.64
0,2.01,1.52
0,2.45,1.82
0,2.26,1.69
0,1.63,1.53
0,2.03,1.63
0,0,1.15
0,1.85,1.45
0,2.4,1.58
0,1.26,1.3
0,1.64,1.59
0,0.78,1.38
0,0,0.6
0,0,1.04
0,0,1.15
0,1.77,1.49
0,0,1.15
0,1.59,1.43
0,2.35,1.76
0,2.63,1.8
0,2.91,1.69
0,2.7,1.68
0,2.01,1.53
0,2.09,1.64
0,1.9,1.52
0,2.01,1.71
0,1.63,1.4
0,1.53,1.38
0,1.64,1.4
0,1.58,1.46
0,1.36,1.48
0,1.41,1.36
0,0,0.6
0,2.28,1.53
0,0,1
0,0,0.48
0,1.76,1.58
0,1.83,1.75
0,2.26,1.69
0,2.26,1.71
0,2.54,1.72
0,2.02,1.7
0,2.2,1.7
0,2,1.52
0,2.23,1.65
0,2.09,1.59
0,2.11,1.64
0,2.48,1.63
0,2.31,1.56
0,2.41,1.58
0,2.37,1.62
0,2.54,1.63
0,2.24,1.53
0,2.6,1.63
0,2.48,1.53
0,2.37,1.61
0,1.04,1.32
0,2.27,1.53
0,2.56,1.62
0,2.35,1.61
0,1.71,1.45
0,2.59,1.79
0,0.95,1.4
0,0,0.78
0,0.7,1.41
0,1.11,1.36
0,0,1.2
